 1: max profit = 13549094 | solution: 110111000110100100000111
 2: max profit = 13549094 | solution: 110111000110100100000111
 3: max profit = 13549094 | solution: 110111000110100100000111
 4: max profit = 13549094 | solution: 110111000110100100000111
 5: max profit = 13549094 | solution: 110111000110100100000111
 6: max profit = 13549094 | solution: 110111000110100100000111
 7: max profit = 13549094 | solution: 110111000110100100000111
 8: max profit = 13549094 | solution: 110111000110100100000111
 9: max profit = 13549094 | solution: 110111000110100100000111
10: max profit = 13549094 | solution: 110111000110100100000111
11: max profit = 13549094 | solution: 110111000110100100000111
12: max profit = 13549094 | solution: 110111000110100100000111
13: max profit = 13549094 | solution: 110111000110100100000111
14: max profit = 13549094 | solution: 110111000110100100000111
15: max profit = 13549094 | solution: 110111000110100100000111
16: max profit = 13549094 | solution: 110111000110100100000111
17: max profit = 13549094 | solution: 110111000110100100000111
18: max profit = 13549094 | solution: 110111000110100100000111
19: max profit = 13549094 | solution: 110111000110100100000111
20: max profit = 13549094 | solution: 110111000110100100000111
21: max profit = 13549094 | solution: 110111000110100100000111
22: max profit = 13549094 | solution: 110111000110100100000111
23: max profit = 13549094 | solution: 110111000110100100000111
24: max profit = 13549094 | solution: 110111000110100100000111
25: max profit = 13549094 | solution: 110111000110100100000111
26: max profit = 13549094 | solution: 110111000110100100000111
27: max profit = 13549094 | solution: 110111000110100100000111
28: max profit = 13549094 | solution: 110111000110100100000111
29: max profit = 13549094 | solution: 110111000110100100000111
30: max profit = 13549094 | solution: 110111000110100100000111
Average max profit of 30runs: 13549094.00
